iteration,time_s,n_initial,n_visible,n_current_trapped,n_active_visible,n_active_inside,n_active_outside,n_newly_escaped,n_visible_after_escape,n_escaped_circular,n_lost_rectangular,n_remaining_trapped
1280,2.1457491262650117e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
1300,2.1787423348722474e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
1320,2.213465968304764e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
1340,2.2473853096506162e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
1360,2.280373190290344e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
1380,2.313362507130484e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
1400,2.347828271934358e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
1420,2.381991368856359e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
1440,2.414978918134396e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
1460,2.4479665530916397e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
1480,2.482171119157327e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
1500,2.516593724217107e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
1520,2.549581552854293e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
1540,2.5825682424814143e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
1560,2.6165108382655013e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
1580,2.651191788217439e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
1600,2.684181729996796e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
1620,2.717167697100604e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
1640,2.7508481780090444e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
1660,2.785782750230395e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
1680,2.8187799011774647e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
1700,2.8517652000035776e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
1720,2.885183960891817e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
1740,2.9203594059008847e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
1760,2.9533770724452485e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
1780,2.986361707104782e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
1800,3.0195378752759655e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
1820,3.054909648340825e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
1840,3.087980789233101e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
1860,3.1209646828319006e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
1880,3.1540239247247786e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
1900,3.189468645367143e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
1920,3.2226688433402317e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
1940,3.2556519665596864e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
1960,3.2886642380672053e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
1980,3.324480150664864e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
2000,3.3578783713792265e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
2020,3.390854261642525e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
2040,3.4238427754265396e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
2060,3.460128233284668e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
2080,3.49373177396762e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
2100,3.526706289808769e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
2120,3.559687293978634e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
2140,3.595613320226524e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
2160,3.6296650932979685e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
2180,3.6626387745776014e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
2200,3.6956157762450277e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
2220,3.730459741151501e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
2240,3.764922903939152e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
2260,3.797901356474716e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
2280,3.830881032673591e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
2300,3.8653118000194807e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
2320,3.899602016564764e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
2340,3.9325799087482656e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
2360,3.9655577998625656e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
2380,3.999733821098665e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
2400,4.0341807325612767e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
2420,4.0671589358287107e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
2440,4.100135861137064e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
2460,4.134049606663592e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
2480,4.168753560698439e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
2500,4.2017340736952427e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
2520,4.234710244171722e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
2540,4.268361230765859e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
2560,4.303319943166601e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
2580,4.3363082435971453e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
2600,4.369283707969825e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
2620,4.4026720224027844e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
2640,4.437871195150106e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
2660,4.4708814953591623e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
2680,4.503856258963707e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
2700,4.537009588904333e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
2720,4.572383688079483e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
2740,4.6054513780167954e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
2760,4.6384254565249507e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
2780,4.671469553300039e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
2800,4.706808218799544e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
2820,4.7400197743748104e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
2840,4.77299317198657e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
2860,4.805992859157498e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
2880,4.84112235824821e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
2900,4.874593480356061e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
2920,4.907566223882176e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
2940,4.94054832789091e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
2960,4.975567042497637e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
2980,5.009290565449531e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
3000,5.042262221527532e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
3020,5.075237109296724e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
3040,5.110741770204833e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
3060,5.144669953106309e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
3080,5.17763116116628e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
3100,5.210593621089727e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
3120,5.246104879058903e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
3140,5.280714122964205e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
3160,5.313676315413959e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
3180,5.34663897615744e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
3200,5.381230039242601e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
3220,5.416312965883392e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
3240,5.449280901530334e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
3260,5.482248576687394e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
3280,5.516358194073646e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
3300,5.551213681223958e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
3320,5.584182600785651e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
3340,5.617149970184701e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
3360,5.6510192467254e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
3380,5.68578117106808e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
3400,5.718752758509514e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
3420,5.751719299139194e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
3440,5.78532791094426e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
3460,5.820315233242325e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
3480,5.85329586226175e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
3500,5.886261725392666e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
3520,5.919607530020877e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
3540,5.954830655530857e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
3560,5.987836466722147e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
3580,6.02080168244166e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
3600,6.05392424060911e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
3620,6.089304516032904e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
3640,6.12237543125178e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
3660,6.155340016534534e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
3680,6.188365980878858e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
3700,6.223679445118162e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
3720,6.256913139111584e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
3740,6.289877109734868e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
3760,6.322863966596385e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
3780,6.35795438875712e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
3800,6.39145038527433e-07,3200,3181,3180,3180,3180,0,0,1,20,0,3180
