iteration,time_s,n_initial,n_visible,n_current_trapped,n_active_visible,n_active_inside,n_active_outside,n_newly_escaped,n_visible_after_escape,n_escaped_circular,n_lost_rectangular,n_remaining_trapped
1720,1.4987445112805566e-09,500,447,418,418,418,0,2,29,30,52,418
1740,1.515092293362242e-09,500,445,414,414,414,0,2,31,32,54,414
1760,1.5325783761828805e-09,500,445,413,413,413,0,1,32,33,54,413
1780,1.5518217949312013e-09,500,444,412,412,412,0,0,32,33,55,412
1800,1.5719258492918754e-09,500,442,408,408,408,0,2,34,35,57,408
1820,1.5912090342926062e-09,500,441,406,406,406,0,1,35,36,58,406
1840,1.6119665492839899e-09,500,439,402,402,402,0,2,37,38,60,402
1860,1.6324368669172568e-09,500,437,399,399,399,0,1,38,39,62,399
1880,1.6522856140969362e-09,500,436,397,397,397,0,1,39,40,63,397
1900,1.671607704829468e-09,500,435,396,396,396,0,0,39,40,64,396
1920,1.692602115414458e-09,500,433,394,394,394,0,0,39,40,66,394
1940,1.71375692187487e-09,500,430,389,389,389,0,2,41,42,69,389
1960,1.7339360256000423e-09,500,428,386,386,386,0,1,42,43,71,386
1980,1.753732918244358e-09,500,427,385,385,385,0,0,42,43,72,385
2000,1.774647834794467e-09,500,425,383,383,383,0,0,42,43,74,383
2020,1.7942596010679138e-09,500,422,380,380,380,0,0,42,43,77,380
2040,1.8156180068996888e-09,500,420,375,375,375,0,3,45,46,79,375
2060,1.8341565470234492e-09,500,415,367,367,367,0,3,48,49,84,367
2080,1.8537683991737146e-09,500,412,364,364,364,0,0,48,49,87,364
2100,1.875527392674266e-09,500,412,363,363,363,0,1,49,50,87,363
2120,1.8958161626387116e-09,500,412,361,361,361,0,2,51,52,87,361
2140,1.9147359650759886e-09,500,411,359,359,359,0,1,52,53,88,359
2160,1.9353851038635774e-09,500,410,355,355,355,0,3,55,56,89,355
2180,1.9574786387806513e-09,500,409,353,353,353,0,1,56,57,90,353
2200,1.9782841940914307e-09,500,408,350,350,350,0,2,58,59,91,350
2220,2.0000450517533975e-09,500,406,347,347,347,0,1,59,60,93,347
2240,2.0212833844671873e-09,500,403,344,344,344,0,0,59,60,96,344
2260,2.042766683305845e-09,500,402,343,343,343,0,0,59,60,97,343
2280,2.062977046964021e-09,500,400,340,340,340,0,1,60,61,99,340
2300,2.0836800087202348e-09,500,399,335,335,335,0,4,64,65,100,335
2320,2.1051155868386367e-09,500,397,332,332,332,0,1,65,66,102,332
2340,2.1251519013248274e-09,500,395,331,331,331,0,0,64,66,103,331
2360,2.1454514309501433e-09,500,395,331,331,331,0,0,64,66,103,331
2380,2.1662331829639775e-09,500,393,324,324,324,0,5,69,71,105,324
2400,2.188460906059701e-09,500,390,319,319,319,0,2,71,73,108,319
2420,2.212407733600975e-09,500,389,318,318,318,0,0,71,73,109,318
2440,2.234173728999673e-09,500,385,312,312,312,0,2,73,75,113,312
2460,2.252942062393779e-09,500,383,309,309,309,0,1,74,76,115,309
2480,2.2727383474352844e-09,500,382,306,306,306,0,2,76,78,116,306
2500,2.295384033377289e-09,500,381,303,303,303,0,2,78,80,117,303
2520,2.3176656681860255e-09,500,379,298,298,298,0,3,81,83,119,298
2540,2.3396600151141885e-09,500,377,296,296,296,0,0,81,83,121,296
2560,2.3621045901836745e-09,500,374,292,292,292,0,1,82,84,124,292
2580,2.3831707797183825e-09,500,373,290,290,290,0,1,83,85,125,290
2600,2.403901321739897e-09,500,371,288,288,288,0,0,83,85,127,288
2620,2.425487546363395e-09,500,370,286,286,286,0,1,84,86,128,286
2640,2.4497600928835303e-09,500,366,283,283,283,0,1,83,87,130,283
2660,2.4740853864470025e-09,500,363,278,278,278,0,2,85,89,133,278
2680,2.496583522911361e-09,500,360,276,276,276,0,0,84,89,135,276
2700,2.5184879345524234e-09,500,357,272,272,272,0,1,85,90,138,272
2720,2.5393331050035844e-09,500,355,267,267,267,0,4,88,94,139,267
2740,2.5636778344591343e-09,500,353,263,263,263,0,3,90,97,140,263
2760,2.5874460040348023e-09,500,348,259,259,259,0,0,89,97,144,259
2780,2.6108930678751257e-09,500,346,257,257,257,0,1,89,98,145,257
2800,2.6340142003988745e-09,500,343,254,254,254,0,1,89,99,147,254
2820,2.654247281645241e-09,500,341,252,252,252,0,0,89,99,149,252
2840,2.6764219012523745e-09,500,339,249,249,249,0,1,90,100,151,249
2860,2.7025643124640815e-09,500,336,244,244,244,0,2,92,102,154,244
2880,2.7273909411769337e-09,500,334,243,243,243,0,0,91,102,155,243
2900,2.75147651499169e-09,500,333,243,243,243,0,0,90,102,155,243
2920,2.7745882496986563e-09,500,332,242,242,242,0,0,90,102,156,242
2940,2.798814902690452e-09,500,331,241,241,241,0,1,90,103,156,241
2960,2.8238558507478272e-09,500,329,237,237,237,0,4,92,107,156,237
2980,2.846441775913151e-09,500,325,233,233,233,0,2,92,109,158,233
3000,2.8691213126870958e-09,500,324,231,231,231,0,1,93,110,159,231
3020,2.894772295358594e-09,500,322,230,230,230,0,0,92,110,160,230
3040,2.9187078867552733e-09,500,322,230,230,230,0,0,92,110,160,230
3060,2.9395963339315068e-09,500,319,226,226,226,0,1,93,111,163,226
3080,2.96010935323233e-09,500,316,224,224,224,0,0,92,111,165,224
3100,2.9816696908987327e-09,500,311,217,217,217,0,3,94,114,169,217
3120,3.0036566242088825e-09,500,310,217,217,217,0,0,93,114,169,217
3140,3.0272243231055756e-09,500,308,216,216,216,0,0,92,114,170,216
3160,3.0511893883273565e-09,500,307,215,215,215,0,1,92,115,170,215
3180,3.076380410272178e-09,500,301,208,208,208,0,3,93,118,174,208
3200,3.10186412121089e-09,500,297,203,203,203,0,3,94,121,176,203
3220,3.127491648075583e-09,500,296,199,199,199,0,4,97,125,176,199
3240,3.15171275254664e-09,500,294,199,199,199,0,0,95,125,176,199
3260,3.1730349431254257e-09,500,291,193,193,193,0,3,98,128,179,193
3280,3.194743118812971e-09,500,291,192,192,192,0,1,99,129,179,192
3300,3.2159098391658926e-09,500,286,187,187,187,0,1,99,130,183,187
3320,3.2365850207616923e-09,500,284,185,185,185,0,0,99,130,185,185
3340,3.2603345448242944e-09,500,282,182,182,182,0,2,100,132,186,182
3360,3.2824195251257606e-09,500,281,182,182,182,0,0,99,132,186,182
3380,3.304463954242053e-09,500,280,179,179,179,0,2,101,134,187,179
3400,3.3286896185974714e-09,500,279,178,178,178,0,0,101,134,188,178
3420,3.3527344844103185e-09,500,278,177,177,177,0,0,101,134,189,177
3440,3.375176460008686e-09,500,275,176,176,176,0,1,99,135,189,176
3460,3.399213325230527e-09,500,273,174,174,174,0,1,99,136,190,174
3480,3.42334944669587e-09,500,273,172,172,172,0,2,101,138,190,172
3500,3.447777970957596e-09,500,270,169,169,169,0,0,101,138,193,169
3520,3.4714246472141494e-09,500,269,167,167,167,0,2,102,140,193,167
3540,3.4948541554454647e-09,500,267,165,165,165,0,0,102,140,195,165
3560,3.516643853916887e-09,500,266,165,165,165,0,0,101,140,195,165
3580,3.5389466119805447e-09,500,261,161,161,161,0,1,100,141,198,161
3600,3.5600924273516925e-09,500,260,160,160,160,0,0,100,141,199,160
3620,3.5826908547376617e-09,500,257,157,157,157,0,1,100,142,201,157
3640,3.6057443920751653e-09,500,256,155,155,155,0,2,101,144,201,155
3660,3.6278287022795823e-09,500,255,155,155,155,0,0,100,144,201,155
